id	ManamgementDimension	StrategicDimenision
10458950	5	6
10942482	5	8
10427157	5	8
10197895	7	5
10426401	5	7
10041551	9	8
10969930	7	7
10871945	9	9
10784036	6	9
10461573	6	7
10463680	6	8
10469645	6	9
10939396	6	7
10642402	7	7
10651898	7	8
10705145	6	8
10365295	9	7
10695070	7	7
10040863	6	8
10263264	8	7
10995838	9	9
10149476	7	9
10906657	9	9
10698411	8	7
10283610	8	9
10169423	9	9
10646785	7	9
10302017	7	9
10079107	8	7
10230724	8	8
10531156	7	9
10327655	7	7
10583489	8	7
10788253	7	9
10811077	9	9
10610008	6	9
10289777	9	9
10248529	6	7
10077226	8	7
10549784	8	7
10110536	7	8
10313956	9	8
10868552	6	9
10258195	9	7
10382508	6	8
10783041	6	8
10965736	8	7
10593667	8	9
10237752	8	7
10586935	6	7
10872420	9	9
10256203	7	7
10674482	9	7
10848100	8	8
10305811	7	7
10335599	6	7
10149728	8	7
10389295	8	7
10591676	8	9
10797363	8	8
10753896	8	9
10648336	7	8
10080812	8	9
10579532	9	8
10917881	9	8
10257316	8	7
10411647	7	8
10071160	7	9
10609954	8	7
10225688	7	9
10171708	9	7
10429609	8	9
10810703	6	8
10667916	7	7
10225761	6	9
10161135	7	8
10089023	8	7
10242512	6	8
10713704	7	7
10102520	6	9
10432460	7	9
10040783	6	9
10925559	6	7
10228754	9	8
10307396	8	7
10324836	9	7
10399653	7	8
10864149	7	7
10704651	6	7
10827743	8	8
10823020	8	8
10683260	8	9
10582618	8	9
10320799	9	8
10356922	9	7
10806931	9	8
10736245	6	8
10673862	8	8
10028631	9	9
10008548	9	9
10118309	9	7
10827224	6	7
10959122	6	7
10918162	6	7
10135091	9	8
10455219	9	9
10472213	8	7
10963088	7	8
10806556	8	9
10705251	9	8
10452437	6	9
10934148	9	8
10200632	8	8
10891407	8	7
10163862	6	8
10556554	8	8
10684558	9	9
10243838	8	8
10908196	6	7
10306136	6	7
10094916	8	7
10510772	7	9
10098487	9	8
10917455	9	8
10447407	6	8
10444428	9	9
10497210	6	9
10511202	6	7
10128105	9	9
10986026	6	8
10236307	9	7
10033416	8	8
10076984	9	8
10554759	8	9
10989806	9	8
10751217	9	9
10734546	8	7
10020583	7	8
10524989	6	9
10417063	6	9
10983971	6	8
10039638	9	9
10674470	8	8
10526656	8	8
10317579	6	9
10988035	6	9
10469257	8	9
10136767	8	8
10165078	7	7
10619157	6	6
10622256	6	7
10768124	5	6
10151261	6	7
10408316	5	7
10991126	7	6
10538690	4	6
10820102	7	5
10172561	5	8
10120515	7	5
10697730	6	6
10975001	7	8
10254466	7	6
10657168	5	6
10377259	5	8
10963861	7	8
10282811	5	8
10217597	4	7
10789943	6	6
10053733	5	5
10992311	7	5
10411012	4	8
10259741	4	6
10652757	6	5
10090103	6	5
10960753	5	8
10509937	6	8
10639352	4	8
10691865	6	5
10483280	6	7
10030396	4	5
10522852	4	7
10141749	5	7
10887627	4	6
10216297	5	6
10816884	7	7
10882574	6	7
10044673	5	5
10942065	5	8
10917987	7	6
10422487	6	7
10040590	6	8
10009435	6	7
10689073	7	6
10045493	6	6
10792999	5	7
10540671	7	5
10157341	6	6
10701772	6	7
10730857	6	5
10181598	4	7
10045329	7	5
10213272	5	8
10140905	7	5
10682532	4	8
10600166	6	8
10980926	7	7
10680003	7	7
10152682	4	5
10551775	7	7
10023032	6	5
10816452	5	5
10372928	7	8
10888405	7	6
10305080	6	7
10753512	6	7
10872749	4	8
10534502	4	6
10560450	7	8
10945361	6	6
10809820	5	8
10473029	5	7
10997568	4	7
10982381	6	8
10358804	4	5
10871729	5	7
10322887	5	8
10259746	7	7
10379269	6	5
10640883	7	6
10737226	5	7
10808477	5	7
10952508	7	5
10821478	4	6
10064118	7	8
10458787	5	5
10335050	4	8
10035988	4	8
10595071	5	6
10468439	4	6
10196436	5	7
10191296	5	8
10995291	7	7
10518219	4	7
10355746	4	5
10202126	5	7
10883097	5	5
10930970	4	5
10896228	4	5
10121662	7	5
10026135	5	5
10655284	5	6
10374538	5	8
10821606	5	8
10456682	7	5
10576500	5	7
10658991	9	8
10235031	7	7
10805535	9	9
10720564	6	9
10666058	6	7
10317923	6	8
10764650	6	9
10028604	6	7
10181191	7	7
10365446	7	8
10614193	6	8
10961923	9	7
10262828	7	7
10502699	6	8
10890080	8	7
10519613	9	9
10521256	7	9
10964064	9	9
10179744	8	7
10080385	8	9
10441336	9	9
10227733	7	9
10784269	7	9
10767357	8	7
10484628	8	8
10014547	7	9
10998764	7	7
10541320	8	7
10875908	7	9
10358462	9	9
10619343	6	9
10333098	9	9
10625989	6	7
10852674	8	7
10189963	8	7
10398315	7	8
10829497	9	8
10557162	6	9
10729876	9	7
10371883	6	8
10059092	6	8
10105994	8	7
10492169	8	9
10951553	8	7
10726175	6	7
10442916	9	9
10738478	7	7
10878854	9	7
10573790	8	8
10768896	7	7
10946187	6	7
10832705	8	7
10063214	8	7
10958913	8	9
10664206	8	8
10225716	8	9
10294347	7	8
10518073	8	9
10238322	9	8
10981402	9	8
10660884	8	7
10425656	7	8
10860768	7	9
10791932	8	7
10069231	7	9
10744763	9	7
10927445	8	9
10949413	6	8
10928214	7	7
10060663	6	9
10218028	7	8
10971629	8	7
10814061	6	8
10379690	7	7
10530247	6	9
10917672	7	9
10457433	6	9
10748916	6	7
10576350	9	8
10121924	8	7
10978353	9	7
10898271	7	8
10225073	7	7
10867835	6	7
10871982	8	8
10788038	8	8
10275177	8	9
10694609	8	9
10737142	9	8
10717157	9	7
10945926	9	8
10839997	6	8
10450643	8	8
10388731	9	9
10268455	9	9
10421772	9	7
10160685	6	7
10670705	6	7
10860808	6	7
10959527	9	8
10996112	9	9
10101735	8	7
10094519	7	8
10267466	8	9
10461801	9	8
10390746	6	9
10260208	9	8
10051549	8	8
10061511	8	7
10639555	6	8
10012819	8	8
10554687	9	9
10324132	8	8
10181778	6	7
10827486	6	7
10648131	8	7
10583203	7	9
10040969	9	8
10790874	9	8
10582701	6	8
10852260	9	9
10384302	6	9
10681936	6	7
10698925	9	9
10962278	6	8
10395150	9	7
10394266	8	8
10030646	9	8
10753539	8	9
10309307	9	8
10684066	9	9
10581975	8	7
10687084	7	8
10011964	6	9
10617732	6	9
10410006	6	8
10478959	9	9
10076124	8	8
10271763	8	8
10905636	6	9
10650666	6	9
10071880	8	9
10844971	8	8
10000369	7	7
10146402	6	6
10171284	6	7
10514787	5	6
10982892	6	7
10718859	5	7
10943117	7	6
10685056	4	6
10310483	7	5
10309744	5	8
10098245	7	5
10821834	6	6
10881046	7	8
10114603	7	6
10051315	5	6
10717642	5	8
10053347	7	8
10993241	5	8
10893370	4	7
10833506	6	6
10818492	5	5
10666440	7	5
10635832	4	8
10061037	4	6
10421854	6	5
10438938	6	5
10015717	5	8
10954432	6	8
10579577	4	8
10321851	6	5
10642706	6	7
10650569	4	5
10093246	4	7
10063350	5	7
10360103	4	6
10205425	5	6
10950327	7	7
10492007	6	7
10622411	5	5
10986461	5	8
10738190	7	6
10231730	6	7
10563235	6	8
10976020	6	7
10820163	7	6
10061569	6	6
10607414	5	7
10410260	7	5
10577136	6	6
10500682	6	7
10448243	6	5
10731166	4	7
10912901	7	5
10900811	5	8
10775707	7	5
10600814	4	8
10142695	6	8
10815791	7	7
10478647	7	7
10800648	4	5
10813273	7	7
10955253	6	5
10403844	5	5
10691799	7	8
10547285	7	6
10579034	6	7
10819381	6	7
10316104	4	8
10115933	4	6
10738728	7	8
10496132	6	6
10038683	5	8
10031983	5	7
10195437	4	7
10199262	6	8
10874112	4	5
10653165	5	7
10686165	5	8
10580355	7	7
10471997	6	5
10612041	7	6
10752249	5	7
10669277	5	7
10680364	7	5
10858736	4	6
10890685	7	8
10693342	5	5
10195332	4	8
10893223	4	8
10647945	5	6
10994485	4	6
10945834	5	7
10547385	5	8
10850217	7	7
10805290	4	7
10276495	4	5
10125327	5	7
10345394	5	5
10659879	4	5
10638864	4	5
10476530	7	5
10768848	5	5
10017878	5	6
10768762	5	8
10530461	5	8
10762956	7	5
10800980	5	7
10521108	9	8
10663757	7	7
10466268	9	9
10053829	6	9
10923899	6	7
10470464	6	8
10559798	6	9
10747480	6	7
10477114	7	7
10384708	7	8
10893922	6	8
10934512	9	7
10585826	7	7
10731939	6	8
10620945	8	7
10887422	9	9
10086920	7	9
10825854	9	9
10958493	8	7
10764623	8	9
10931701	9	9
10715790	7	9
10353524	7	9
10409887	8	7
10287904	8	8
10770247	7	9
10316107	7	7
10085276	8	7
10398019	7	9
10707326	9	9
10934260	6	9
10811292	9	9
10288361	6	7
10086049	8	7
10235128	8	7
10893944	7	8
10322717	9	8
10705270	6	9
10815292	9	7
10515222	6	8
10867048	6	8
10799548	8	7
10287995	8	9
10117885	8	7
10814647	6	7
10925988	9	9
10979647	7	7
10288528	9	7
10682985	8	8
10537031	7	7
10451571	6	7
10289594	8	7
10436923	8	7
10907029	8	9
10848854	8	8
10894157	8	9
10176636	7	8
10878738	8	9
10803528	9	8
10346637	9	8
10856488	8	7
10626260	7	8
10538941	7	9
10317276	8	7
10594356	7	9
10171891	9	7
10522347	8	9
10872664	6	8
10044571	7	7
10641324	6	9
10087744	7	8
10320300	8	7
10673155	6	8
10590442	7	7
10567849	6	9
10081753	7	9
10969206	6	9
10057840	6	7
10408385	9	8
10051373	8	7
10581410	9	7
10110872	7	8
10171997	7	7
10009467	6	7
10089943	8	8
10027707	8	8
10769446	8	9
10682625	8	9
10813491	9	8
10234827	9	7
10420871	9	8
10569830	6	8
10365114	8	8
10447967	9	9
10591816	9	9
10926322	9	7
10802555	6	7
10213488	6	7
10700848	6	7
10828350	9	8
10971776	9	9
10497244	8	7
10278225	7	8
10180516	8	9
10569918	9	8
10525551	6	9
10038795	9	8
10020163	8	8
10623822	8	7
10839400	6	8
10691854	8	8
10250955	9	9
10417566	8	8
10948702	6	7
10281189	6	7
10286158	8	7
10195105	7	9
10992110	9	8
10698437	9	8
10064357	6	8
10636102	9	9
10052261	6	9
10453358	6	7
10363351	9	9
10542042	6	8
10444400	9	7
10142999	8	8
10166464	9	8
10493107	8	9
10567283	9	8
10508492	9	9
10478544	8	7
10110365	7	8
10336390	6	9
10725629	6	9
10904769	6	8
10650941	9	9
10114516	8	8
10364895	8	8
10406907	6	9
10268341	6	9
10874991	8	9
10709758	8	8
10988159	7	7
10516107	6	6
10411422	6	7
10740779	5	6
10407193	6	7
10630619	5	7
10881508	7	6
10983976	4	6
10166237	7	5
10312447	5	8
10009660	7	5
10616199	6	6
10593762	7	8
10254420	7	6
10582525	5	6
10453466	5	8
10921777	7	8
10929900	5	8
10353048	4	7
10102521	6	6
10793642	5	5
10042043	7	5
10626001	4	8
10503445	4	6
10639792	6	5
10942718	6	5
10179144	5	8
10398536	6	8
10603466	4	8
10323714	6	5
10761183	6	7
10882499	4	5
10619918	4	7
10870503	5	7
10082600	4	6
10522640	5	6
10539345	7	7
10003883	6	7
10412721	5	5
10203867	5	8
10561628	7	6
10589616	6	7
10293884	6	8
10637828	6	7
10355856	7	6
10158015	6	6
10335835	5	7
10534849	7	5
10108059	6	6
10513046	6	7
10308896	6	5
10693166	4	7
10919810	7	5
10041091	5	8
10534738	7	5
10321507	4	8
10411907	6	8
10735583	7	7
10499597	7	7
10896774	4	5
10021921	7	7
10744604	6	5
10534642	5	5
10481662	7	8
10750174	7	6
10220240	6	7
10972557	6	7
10689188	4	8
10925096	4	6
10599807	7	8
10496662	6	6
10919782	5	8
10292804	5	7
10910408	4	7
10184722	6	8
10989322	4	5
10831927	5	7
10118686	5	8
10404797	7	7
10587880	6	5
10645565	7	6
10477492	5	7
10398977	5	7
10000485	7	5
10012726	4	6
10406222	7	8
10997222	5	5
10629024	4	8
10245105	4	8
10287501	5	6
10106752	4	6
10098488	5	7
10457698	5	8
10720147	7	7
10223114	4	7
10535162	4	5
10514184	5	7
10455190	5	5
10050083	4	5
10233059	4	5
10439491	7	5
10703575	5	5
10280691	5	6
10231317	5	8
10190774	5	8
10843161	7	5
10963794	5	7
