id,Year_of_Start,Empl_Cnt_Y1,InvestmentType,Invest_1st_Q_S,Industry_Vertical,SubVertical,City,OperationalDimension,IndustryPerformance,CompetitiveLandscape,CustomerDimension,MarketDimension,ManamgementDimension,StrategicDimenision,FinanceDimension,HRDimension,status
10382196,2015,Above 25,Private Equity,5 Crore and Above,Education,School Student admissions platform,New Delhi,5.0,Low,Low,7.0,7.0,8,8,8.0,7.0,0.0
10270418,2016,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Automobile Service Booking App,Bangalore,5.0,Medium,Low,6.0,7.0,9,8,8.0,6.0,0.0
10879352,2016,Below 10,Private Equity,1 - 2 Crores,Consumer Internet,Two Wheeler Taxi Service,Gurgaon,6.0,Medium,Medium,6.0,6.0,8,9,7.0,7.0,0.0
10763816,2015,Below 10,Private Equity,80-100 Lacs,Consumer Internet,Online Furniture Customization platform,Bangalore,6.0,Medium,Medium,8.0,5.0,9,8,7.0,7.0,0.0
10889834,2016,Above 25,Private Equity,5 Crore and Above,Education,Mobile Based Education platform,Jaipur,5.0,Medium,Low,5.0,6.0,9,9,6.0,6.0,0.0
10260289,2012,10-25,Angel / Seed Funding,2 - 5 Crores,Consumer Internet,Online Travel/Hotel Booking platform,Gurgaon,6.0,Medium,Medium,5.0,7.0,8,7,7.0,7.0,0.0
10732622,2016,10-25,Debt Funding,2 - 5 Crores,ECommerce,Online/ Mobile Jewellery Retailer,Bangalore,5.0,Medium,Low,7.0,7.0,7,8,8.0,8.0,0.0
10625032,2015,10-25,Seed/Angel Funding,1 - 2 Crores,Consumer Internet,Train PNR Status Prediction Platform,Bangalore,6.0,High,Medium,7.0,7.0,6,9,6.0,8.0,0.0
10334172,2013,Above 25,Private Equity,5 Crore and Above,Education,Career Planning and Education Advisory Platform,Mumbai,5.0,Low,Medium,6.0,7.0,6,9,8.0,5.0,0.0
10880818,2013,Above 25,Angel / Seed Funding,5 Crore and Above,Consumer Internet,Online Furnishing Rental Platform,Gurgaon,7.0,Low,Medium,5.0,5.0,6,8,9.0,7.0,0.0
10567077,2013,Above 25,Debt Funding,5 Crore and Above,ECommerce,Organic Food eTailer,Bangalore,5.0,High,Low,7.0,6.0,9,9,7.0,7.0,0.0
10011814,2013,10-25,Seed/Angel Funding,2 - 5 Crores,ECommerce,Online Fashion Apparel Retailer,Gurgaon,6.0,Low,Low,8.0,8.0,8,8,6.0,5.0,0.0
10569654,2012,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Mobile app based Concierge Service,New Delhi,6.0,Low,Low,6.0,6.0,8,8,6.0,8.0,0.0
10397935,2015,10-25,Angel / Seed Funding,2 - 5 Crores,Consumer Internet,Online / Mobile Food Ordering platform,Bangalore,6.0,High,Low,5.0,5.0,6,9,6.0,6.0,0.0
10285314,2016,Above 25,Seed/Angel Funding,5 Crore and Above,ECommerce,Last Minute Hotel Bookings mobile marketplace,Bangalore,5.0,High,Medium,8.0,7.0,6,9,6.0,8.0,0.0
10400424,2012,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Mobile based Geo-target Fashion Marketplace,Mumbai,5.0,High,Medium,7.0,8.0,8,9,6.0,5.0,0.0
10685741,2013,Above 25,Private Equity,5 Crore and Above,ECommerce,ECommerce Marketplace,Gurgaon,5.0,Low,Low,7.0,6.0,8,8,7.0,6.0,0.0
10381776,2016,10-25,Private Equity,2 - 5 Crores,Consumer Internet,P2P Messaging Service,New Delhi,6.0,Medium,High,6.0,7.0,7,7,6.0,5.0,1.0
10730106,2014,10-25,Private Equity,2 - 5 Crores,Technology,Next Generation in-building connectivity,Bangalore,7.0,Low,High,4.0,7.0,6,6,5.0,5.0,1.0
10975960,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Mobile based Referral Platform,Mumbai,7.0,Low,High,4.0,7.0,6,7,7.0,5.0,1.0
10522651,2016,Below 10,Private Equity,80-100 Lacs,Consumer Internet,Auto Classifieds Portal,Mumbai,6.0,Low,High,6.0,4.0,5,6,5.0,6.0,1.0
10875544,2016,10-25,Debt Funding,2 - 5 Crores,Consumer Internet,peer-to-peer renting Marketplace,Bangalore,7.0,Low,High,7.0,4.0,6,7,7.0,3.0,1.0
10738637,2016,10-25,Seed/Angel Funding,2 - 5 Crores,Consumer Internet,inter-city cab aggregator,New Delhi,6.0,Medium,High,7.0,7.0,5,7,7.0,5.0,1.0
10064237,2015,Above 25,,,Consumer Internet,Food Ordering Mobile App,Hyderabad,5.0,High,High,6.0,6.0,7,6,6.0,6.0,1.0
10124681,2014,Above 25,Angel / Seed Funding,5 Crore and Above,Healthcare,Professional Health Services Platform,Mumbai,7.0,Medium,High,7.0,6.0,4,6,7.0,6.0,1.0
10441696,2015,Above 25,Seed/Angel Funding,5 Crore and Above,Healthcare,Weigh Loss Coaching,Mumbai,7.0,High,High,6.0,6.0,7,5,6.0,3.0,1.0
10166398,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Visual Search & Image Recognition Platform,Bangalore,6.0,Low,High,7.0,7.0,5,8,6.0,6.0,1.0
10118121,2015,Above 25,Private Equity,5 Crore and Above,ECommerce,Construction Material Marketplace,Bangalore,5.0,Low,High,6.0,6.0,7,5,5.0,3.0,1.0
10942787,2014,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Carpooling Mobile App,Gurgaon,5.0,Low,High,7.0,5.0,6,6,7.0,4.0,1.0
10092403,2016,Above 25,Private Equity,5 Crore and Above,Technology,TV to Mobile audience Platform,Gurgaon,5.0,Low,High,4.0,6.0,7,8,6.0,5.0,1.0
10927431,2014,10-25,Private Equity,1 - 2 Crores,Healthcare,Healthcare Product Manufacturer,Bangalore,5.0,Low,High,4.0,5.0,7,6,5.0,3.0,1.0
10085924,2016,10-25,Debt Funding,2 - 5 Crores,Consumer Internet,Fitness related Social Networking App & Forum,Gurgaon,6.0,Medium,Medium,5.0,7.0,5,6,4.0,6.0,1.0
10165602,2015,10-25,Seed/Angel Funding,2 - 5 Crores,Consumer Internet,Party Hall Booking platform,Bangalore,7.0,Medium,High,5.0,6.0,5,8,5.0,4.0,1.0
10454527,2016,Above 25,Private Equity,5 Crore and Above,Consumer Internet,healthcare aggregator platform,Mumbai,5.0,Medium,High,4.0,6.0,7,8,6.0,3.0,1.0
10875273,2015,10-25,Angel / Seed Funding,2 - 5 Crores,Consumer Internet,Mobile app based Job Search,Noida,7.0,High,High,5.0,6.0,5,8,6.0,5.0,1.0
10556222,2014,10-25,Seed/Angel Funding,1 - 2 Crores,Consumer Internet,Instant Content Transfer Mobile App,Mumbai,7.0,Low,High,6.0,6.0,4,7,4.0,5.0,1.0
10037047,2016,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Dating & Singles Chat Platform,Mumbai,6.0,Medium,High,7.0,6.0,6,6,7.0,4.0,1.0
10829373,2016,10-25,Private Equity,2 - 5 Crores,Consumer Internet,SAAS DIY? ECommerce Platform,New Delhi,5.0,High,High,4.0,7.0,5,5,7.0,4.0,1.0
10659537,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Online/Mobile food ordering platform,Bangalore,5.0,Low,High,4.0,4.0,7,5,5.0,3.0,1.0
10906669,2016,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Parenting Social Network,Bangalore,6.0,Low,High,4.0,6.0,4,8,5.0,4.0,1.0
10617035,2016,10-25,Private Equity,1 - 2 Crores,Consumer Internet,Coupon & Cashback platform,Gurgaon,7.0,High,High,4.0,7.0,4,6,4.0,5.0,1.0
10053333,2015,10-25,Debt Funding,2 - 5 Crores,Consumer Internet,Casual Gaming platform,New Delhi,7.0,Medium,High,4.0,6.0,6,5,6.0,3.0,1.0
10915994,2015,Above 25,Seed/Angel Funding,5 Crore and Above,ECommerce,Mobile Accessories etailer,New Delhi,5.0,Low,High,7.0,7.0,6,5,7.0,4.0,1.0
10079306,2016,Above 25,Private Equity,5 Crore and Above,Technology,Local language Mobile OS,Mumbai,5.0,Low,Low,7.0,7.0,5,8,6.0,3.0,1.0
10867894,2015,10-25,Angel / Seed Funding,2 - 5 Crores,Consumer Internet,Educational College Search platform,New Delhi,5.0,Low,Low,6.0,6.0,6,8,6.0,4.0,1.0
10358992,2015,Above 25,Seed/Angel Funding,5 Crore and Above,Finance,Social Business Incubator & Fund,Chennai,5.0,Low,Low,6.0,5.0,4,8,7.0,5.0,0.0
10577104,2016,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Budget Accomodation Aggregator,New Delhi,7.0,Low,Low,5.0,6.0,6,5,5.0,3.0,0.0
10918127,2015,Above 25,Private Equity,5 Crore and Above,ECommerce,B2B Industrial Goods Marketplace,New Delhi,6.0,Low,Low,4.0,7.0,6,7,7.0,5.0,0.0
10172233,2016,10-25,Private Equity,2 - 5 Crores,ECommerce,B2B Marketplace for Distributors,Mumbai,6.0,Low,Low,7.0,7.0,4,5,6.0,6.0,0.0
10665175,2014,Above 25,Private Equity,5 Crore and Above,ECommerce,Adult Products Etailers,New Delhi / US,5.0,Low,Low,5.0,7.0,4,7,5.0,3.0,0.0
10259913,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Social Meeting organizer App,Mumbai / UK,6.0,Low,Low,6.0,6.0,5,7,5.0,6.0,0.0
10045709,2015,10-25,Debt Funding,1 - 2 Crores,Healthcare,Women Hygiene Product Manufacturer,Mumbai,7.0,Low,Low,4.0,6.0,4,6,5.0,6.0,0.0
10611725,2016,Above 25,Seed/Angel Funding,5 Crore and Above,ECommerce,Kids Focused eTailer,Pune,6.0,Low,Low,7.0,4.0,5,6,7.0,6.0,0.0
10740478,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Personal Finance Mobile App,Bangalore,6.0,High,Low,5.0,4.0,7,7,7.0,3.0,0.0
10982422,2016,Above 25,Angel / Seed Funding,5 Crore and Above,Consumer Internet,Online insurance policy aggregator,Noida,5.0,Low,Low,5.0,6.0,6,7,7.0,5.0,0.0
10556561,2016,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Internet,Online Real Estate Portal,Mumbai,6.0,Medium,Low,7.0,6.0,5,5,4.0,5.0,0.0
10945629,2016,Above 25,Private Equity,5 Crore and Above,Technology,Smartphone OS Developer,Bangalore,7.0,Low,Low,4.0,6.0,5,8,4.0,5.0,0.0
10586741,2016,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Hindi Language Social Networking Portal,Kanpur,5.0,High,Low,5.0,7.0,7,6,6.0,4.0,0.0
10908102,2014,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Deal Discovery App,Bangalore,6.0,Medium,Low,7.0,6.0,6,7,5.0,6.0,0.0
10146689,2015,Above 25,Private Equity,5 Crore and Above,ECommerce,Mobile based Retail Market Ecosystem,Bangalore,5.0,High,Low,7.0,7.0,6,8,4.0,3.0,0.0
10891466,2014,10-25,Private Equity,2 - 5 Crores,Consumer Internet,on-demand concierge services,Gurgaon,5.0,Low,High,6.0,6.0,6,7,4.0,4.0,0.0
10846271,2014,Above 25,Debt Funding,5 Crore and Above,Consumer Internet,Social Network for Healthcare Professionals,Ahmedabad,5.0,Low,High,7.0,7.0,7,6,6.0,5.0,0.0
10647271,2016,Above 25,Seed/Angel Funding,5 Crore and Above,Technology,Home Automation & Security Solutions,Bangalore,7.0,Low,High,5.0,5.0,6,6,7.0,4.0,0.0
10423261,2015,Above 25,Private Equity,5 Crore and Above,Technology,Electronic Payments Solution Company,Mumbai,6.0,Low,High,6.0,4.0,5,7,7.0,6.0,0.0
10349201,2015,Above 25,Angel / Seed Funding,5 Crore and Above,Technology,Enterprise Cloud Based Data Processing,Bangalore,5.0,Low,High,5.0,6.0,7,5,4.0,6.0,0.0
10562825,2014,Above 25,Seed/Angel Funding,5 Crore and Above,Healthcare,Salons & Spa Chain,Gurgaon,7.0,Medium,Medium,4.0,7.0,6,6,6.0,3.0,1.0
10592736,2016,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Photography curation & Aggregator platform,Mumbai,5.0,Medium,Medium,4.0,5.0,6,7,4.0,6.0,1.0
10271050,2015,10-25,Private Equity,2 - 5 Crores,Consumer Internet,SME Online Buying Hub,Gurgaon,5.0,Medium,High,5.0,6.0,6,5,6.0,5.0,1.0
10510512,2014,10-25,Private Equity,2 - 5 Crores,ECommerce,Home D?cor Product etailer,New Delhi,7.0,Medium,High,7.0,6.0,4,7,5.0,6.0,1.0
10250578,2015,Above 25,Private Equity,5 Crore and Above,ECommerce,Specialty Tea ETailer,Siliguri,7.0,Low,High,4.0,5.0,7,5,6.0,4.0,1.0
10232376,2016,Above 25,Private Equity,5 Crore and Above,ECommerce,Construction Material ETailer,Gurgaon,6.0,Low,High,5.0,7.0,5,8,4.0,5.0,1.0
10206892,2016,10-25,Debt Funding,2 - 5 Crores,Technology,"Sales, Market, Distribution & Data Analytics Platform",Bangalore,7.0,Low,High,7.0,5.0,7,5,4.0,6.0,1.0
10458850,2015,Above 25,Seed/Angel Funding,5 Crore and Above,ECommerce,Online Rental Marketplace,Bangalore,5.0,Medium,High,5.0,7.0,4,8,4.0,3.0,1.0
10823367,2014,Above 25,Private Equity,5 Crore and Above,Technology,Data Intelligence & Analytics,Hyderabad,6.0,Low,High,6.0,6.0,6,8,4.0,3.0,1.0
10133005,2016,Above 25,Angel / Seed Funding,5 Crore and Above,FMCG,Vegetables & Fruits Supply Chain,Mumbai,7.0,High,High,7.0,4.0,7,7,4.0,4.0,1.0
10835984,2016,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Interne,Medical Video Consultation platform,Bangalore,7.0,Medium,High,7.0,7.0,7,7,5.0,4.0,1.0
10947253,2015,Above 25,Private Equity,5 Crore and Above,Technology,Connected Smart Home Solutions,Bangalore,6.0,High,High,5.0,5.0,4,5,5.0,4.0,1.0
10513041,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Crowd Funding Platform,New Delhi,5.0,High,High,4.0,6.0,7,7,7.0,5.0,1.0
10567303,2015,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Online Fitness & Educational information Aggregator,Jodhpur,5.0,Low,High,7.0,6.0,6,5,7.0,4.0,1.0
10068876,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Rental Bike Aggregator App,Noida,7.0,Low,High,4.0,5.0,5,5,6.0,6.0,1.0
10189896,2014,Above 25,,,Consumer Internet,Indians focused Matchmaking App,Bangalore,7.0,High,High,4.0,6.0,7,8,6.0,3.0,1.0
10001910,2014,Above 25,Debt Funding,5 Crore and Above,Consumer Internet,Fresh Food Delivery platform,Bangalore,7.0,Medium,High,6.0,5.0,7,6,,,1.0
10996899,2016,10-25,Seed/Angel Funding,2 - 5 Crores,ECommerce,Online marketplace for cars,Mumbai,6.0,Low,High,,,6,7,6.0,3.0,1.0
10333396,2015,Above 25,,,Technology,Mobile & Cloud based App developer,New Delhi,7.0,Low,High,4.0,6.0,6,7,5.0,4.0,1.0
10941588,2015,10-25,Angel / Seed Funding,1 - 2 Crores,Consumer Internet,Food Delivery Platform,Hyderabad,6.0,Low,High,4.0,5.0,4,8,5.0,5.0,1.0
10408885,2014,10-25,Seed/Angel Funding,2 - 5 Crores,Technology,Coding Skill Showcase & Resume Builder,Hyderabad,6.0,Low,High,4.0,4.0,4,6,4.0,6.0,1.0
10491982,2014,10-25,,,Consumer Internet,Hobby & Activity Class Aggregator,Mumbai,7.0,Low,High,6.0,5.0,7,8,6.0,5.0,1.0
10362399,2015,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Interior Design Marketplace,New Delhi,7.0,Low,High,6.0,4.0,6,6,6.0,6.0,1.0
10195056,2015,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Mobile Advertising App,Noida,7.0,Low,High,7.0,5.0,5,8,6.0,5.0,1.0
10666773,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Co-Living Spaces Aggregator,Bangalore,7.0,High,High,6.0,6.0,5,7,7.0,3.0,1.0
10005597,2015,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Online Food Ordering & Delivery Portal,Gurgaon,5.0,Low,High,7.0,5.0,4,7,4.0,4.0,1.0
10369027,2014,10-25,Private Equity,2 - 5 Crores,ECommerce,Online Jewellery etailer,Bangalore,5.0,High,High,4.0,5.0,6,8,5.0,5.0,1.0
10188233,2016,10-25,Private Equity,2 - 5 Crores,eCommerce,Online Marketplace,Bangalore,5.0,Medium,High,4.0,7.0,4,5,5.0,6.0,1.0
10887686,2016,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Mobile balance Checking App,Gurgaon,7.0,Low,High,7.0,4.0,5,7,4.0,4.0,1.0
10292674,2016,10-25,Debt Funding,2 - 5 Crores,Consumer Internet,Photo Sharing for Groups,Bangalore,7.0,High,High,5.0,6.0,5,8,5.0,6.0,1.0
10078196,2014,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Internet,Smart Parking Platform,New Delhi,6.0,Low,High,5.0,7.0,7,7,4.0,6.0,1.0
10239900,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,B2B Mobile App for Pharmacies,Mumbai,6.0,Medium,High,6.0,5.0,6,5,7.0,5.0,1.0
10653779,2016,Above 25,Angel / Seed Funding,5 Crore and Above,Consumer Internet,Mobile Advertising App,Noida,7.0,High,High,5.0,6.0,7,6,5.0,3.0,1.0
10906820,2016,Below 10,Seed/Angel Funding,20-40 Lacs,Consumer Internet,Co-Living Spaces Aggregator,Bangalore,6.0,Low,High,5.0,4.0,5,7,5.0,3.0,1.0
10461188,2015,Below 10,Private Equity,60-80 Lacs,Consumer Internet,Online Food Ordering & Delivery Portal,Gurgaon,5.0,Low,High,4.0,7.0,5,7,6.0,3.0,1.0
10042828,2016,Above 25,Private Equity,5 Crore and Above,ECommerce,Online Jewellery etailer,Bangalore,5.0,High,Medium,5.0,4.0,7,5,6.0,4.0,1.0
10681007,2014,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Live Online Coaching Classes,New Delhi,5.0,Medium,Medium,6.0,6.0,4,6,7.0,3.0,1.0
10883359,2016,Above 25,Private Equity,5 Crore and Above,Logistics,Online freight aggregator,Bangalore,5.0,Low,Medium,4.0,4.0,7,8,4.0,4.0,1.0
10947939,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,On Demand Cleaning Services Mobile App,Mumbai,5.0,Low,Medium,6.0,4.0,5,5,6.0,4.0,1.0
10957210,2014,Above 25,Private Equity,5 Crore and Above,ECommerce,Online Pet Store,Gurgaon,5.0,Low,Medium,7.0,5.0,4,8,7.0,6.0,1.0
10277146,2015,Above 25,Private Equity,5 Crore and Above,Education,College Education Portal,New Delhi,6.0,Low,Medium,5.0,5.0,4,8,5.0,3.0,1.0
10407030,2015,Above 25,Private Equity,5 Crore and Above,Food & Beverage,Craft Beer manufacturing company,New Delhi,6.0,Low,Medium,7.0,7.0,5,6,5.0,3.0,1.0
10657579,2015,Above 25,Private Equity,5 Crore and Above,Food & Beverage,Healthy food manufacturing & sales startup,Ahmedabad,5.0,Low,Medium,5.0,5.0,4,6,7.0,3.0,1.0
10965122,2014,Above 25,Private Equity,5 Crore and Above,Education,Child Disorder Information & Education,Bhopal,6.0,Low,Medium,4.0,5.0,5,7,7.0,5.0,1.0
10189524,2014,Above 25,Debt Funding,5 Crore and Above,ECommerce,B2B Procurement Marketplace for Office Products,Noida,5.0,Medium,Medium,7.0,5.0,5,8,4.0,6.0,1.0
10561482,2014,10-25,Seed/Angel Funding,2 - 5 Crores,Consumer Internet,Ride Sharing platform,Bangalore,5.0,Low,Medium,4.0,4.0,7,7,5.0,4.0,1.0
10446675,2015,10-25,Private Equity,1 - 2 Crores,Consumer Internet,Cloud Mobility Solutions,Mumbai,6.0,Low,High,5.0,5.0,4,7,7.0,4.0,1.0
10668089,2015,Above 25,Angel / Seed Funding,5 Crore and Above,,,,6.0,Low,High,7.0,7.0,4,5,6.0,6.0,1.0
10766245,2015,Above 25,Seed/Angel Funding,5 Crore and Above,BFSI,Startup Funding Deal Discovery & Execution platform,Bangalore,5.0,Low,High,4.0,7.0,5,7,4.0,6.0,1.0
10741561,2016,Above 25,Private Equity,5 Crore and Above,Real Estate,Branded Workspaces Aggregator,Gurgaon,7.0,Medium,High,7.0,6.0,5,5,4.0,5.0,1.0
10092878,2015,Above 25,Private Equity,5 Crore and Above,Technology,"TV Search, Guide and Remote mobile app",Bangalore,7.0,High,High,7.0,6.0,4,5,7.0,5.0,1.0
10373041,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Bitcoin Buying & Selling Mobile App,Ahmedabad,5.0,Medium,High,7.0,7.0,4,5,6.0,4.0,1.0
10155093,2016,10-25,Private Equity,1 - 2 Crores,Healthcare,Medical Tourism platform,Pune,7.0,High,High,5.0,4.0,7,5,4.0,5.0,1.0
10602912,2016,Above 25,,5 Crore and Above,,,,6.0,Low,High,5.0,4.0,5,5,5.0,4.0,1.0
10058074,2014,Above 25,Seed/Angel Funding,5 Crore and Above,Education,Children Education & Information platform,Gurgaon,5.0,Low,High,7.0,4.0,5,6,5.0,4.0,1.0
10141904,2016,Below 10,Private Equity,40-60 Lacs,Education,School Student admissions platform,New Delhi,7.0,Low,High,4.0,6.0,5,8,6.0,5.0,1.0
10393216,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Automobile Service Booking App,Bangalore,6.0,Low,High,7.0,4.0,5,8,7.0,3.0,1.0
10611589,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Two Wheeler Taxi Service,Gurgaon,6.0,Low,High,7.0,6.0,7,5,5.0,4.0,1.0
10403929,2016,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Online Furniture Customization platform,Bangalore,6.0,Medium,Medium,6.0,6.0,5,7,4.0,6.0,1.0
10150202,2013,Above 25,Private Equity,5 Crore and Above,Education,Mobile Based Education platform,Jaipur,7.0,High,Medium,7.0,8.0,9,8,8.0,8.0,0.0
10253736,2016,Above 25,Angel / Seed Funding,5 Crore and Above,Consumer Internet,Online Travel/Hotel Booking platform,Gurgaon,7.0,Low,Medium,5.0,5.0,7,7,8.0,5.0,0.0
10582537,2012,Above 25,Debt Funding,5 Crore and Above,ECommerce,Online/ Mobile Jewellery Retailer,Bangalore,6.0,Medium,Medium,8.0,7.0,9,9,7.0,7.0,0.0
10203684,2015,10-25,Seed/Angel Funding,2 - 5 Crores,Consumer Internet,Train PNR Status Prediction Platform,Bangalore,7.0,High,High,8.0,7.0,6,9,8.0,8.0,0.0
10969572,2015,Above 25,Private Equity,5 Crore and Above,Education,Career Planning and Education Advisory Platform,Mumbai,7.0,Low,High,5.0,8.0,6,7,7.0,6.0,0.0
10060483,2016,Above 25,Angel / Seed Funding,5 Crore and Above,Consumer Internet,Online Furnishing Rental Platform,Gurgaon,6.0,Medium,High,8.0,7.0,6,8,6.0,6.0,0.0
10390846,2012,Above 25,Debt Funding,5 Crore and Above,ECommerce,Organic Food eTailer,Bangalore,6.0,High,High,5.0,8.0,6,9,6.0,6.0,0.0
10534233,2013,Above 25,Seed/Angel Funding,5 Crore and Above,ECommerce,Online Fashion Apparel Retailer,Gurgaon,7.0,High,High,8.0,5.0,6,7,9.0,8.0,0.0
10277766,2013,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Mobile app based Concierge Service,New Delhi,5.0,High,High,7.0,7.0,7,7,6.0,5.0,0.0
10799528,2014,Above 25,Angel / Seed Funding,5 Crore and Above,Consumer Internet,Online / Mobile Food Ordering platform,Bangalore,5.0,High,High,5.0,5.0,7,8,6.0,6.0,0.0
10396918,2012,Above 25,Seed/Angel Funding,5 Crore and Above,ECommerce,Last Minute Hotel Bookings mobile marketplace,Bangalore,5.0,High,High,5.0,5.0,6,8,6.0,8.0,0.0
10879279,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Mobile based Geo-target Fashion Marketplace,Mumbai,6.0,High,High,7.0,8.0,9,7,8.0,5.0,0.0
10779033,2012,Above 25,Private Equity,5 Crore and Above,ECommerce,ECommerce Marketplace,Gurgaon,6.0,Low,High,8.0,6.0,7,7,6.0,8.0,0.0
10972368,2013,Above 25,Private Equity,5 Crore and Above,Consumer Internet,P2P Messaging Service,New Delhi,5.0,Low,High,6.0,7.0,6,8,6.0,6.0,0.0
10085993,2015,Above 25,Private Equity,5 Crore and Above,Technology,Next Generation in-building connectivity,Bangalore,6.0,Low,High,7.0,8.0,8,7,6.0,5.0,0.0
10059136,2013,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Mobile based Referral Platform,Mumbai,5.0,Low,High,8.0,5.0,9,9,6.0,5.0,0.0
10167963,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Auto Classifieds Portal,Mumbai,6.0,Low,Low,6.0,6.0,7,9,8.0,8.0,0.0
10146778,2012,Above 25,Debt Funding,5 Crore and Above,Consumer Internet,peer-to-peer renting Marketplace,Bangalore,6.0,Low,Medium,8.0,6.0,9,9,6.0,8.0,0.0
10285168,2013,10-25,Seed/Angel Funding,2 - 5 Crores,Consumer Internet,inter-city cab aggregator,New Delhi,6.0,Low,Low,5.0,5.0,8,7,9.0,5.0,0.0
10086017,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Food Ordering Mobile App,Hyderabad,7.0,Medium,Low,6.0,5.0,8,9,9.0,6.0,0.0
10879719,2016,Above 25,Angel / Seed Funding,5 Crore and Above,Healthcare,Professional Health Services Platform,Mumbai,7.0,Medium,Medium,8.0,8.0,9,9,7.0,7.0,0.0
10350251,2014,Above 25,Seed/Angel Funding,5 Crore and Above,Healthcare,Weigh Loss Coaching,Mumbai,7.0,Medium,Medium,8.0,5.0,7,9,9.0,6.0,0.0
10972920,2015,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Visual Search & Image Recognition Platform,Bangalore,6.0,Medium,Low,7.0,7.0,7,9,6.0,7.0,0.0
10785436,2012,Above 25,Private Equity,5 Crore and Above,ECommerce,Construction Material Marketplace,Bangalore,5.0,Medium,Medium,8.0,7.0,8,7,9.0,8.0,0.0
10564620,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Carpooling Mobile App,Gurgaon,7.0,Medium,Low,5.0,8.0,8,8,7.0,6.0,0.0
10696536,2012,10-25,Private Equity,2 - 5 Crores,Technology,TV to Mobile audience Platform,Gurgaon,5.0,High,Medium,7.0,6.0,7,9,9.0,5.0,0.0
10007777,2013,10-25,Private Equity,2 - 5 Crores,Healthcare,Healthcare Product Manufacturer,Bangalore,5.0,Low,Medium,7.0,6.0,7,7,9.0,6.0,0.0
10256227,2014,Above 25,Debt Funding,5 Crore and Above,Consumer Internet,Fitness related Social Networking App & Forum,Gurgaon,5.0,Low,Medium,6.0,5.0,8,7,7.0,6.0,0.0
10780515,2016,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Internet,Party Hall Booking platform,Bangalore,5.0,High,Low,8.0,7.0,7,9,8.0,5.0,0.0
10337112,2013,Above 25,Private Equity,5 Crore and Above,Consumer Internet,healthcare aggregator platform,Mumbai,5.0,Low,Low,5.0,7.0,9,9,9.0,7.0,0.0
10415699,2012,Above 25,Angel / Seed Funding,5 Crore and Above,Consumer Internet,Mobile app based Job Search,Noida,7.0,Low,Low,6.0,5.0,6,9,9.0,7.0,0.0
10907056,2015,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Internet,Instant Content Transfer Mobile App,Mumbai,5.0,High,Low,8.0,6.0,9,9,6.0,5.0,0.0
10240168,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Dating & Singles Chat Platform,Mumbai,5.0,High,Medium,5.0,6.0,6,7,7.0,6.0,0.0
10823192,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,SAAS DIY? ECommerce Platform,New Delhi,5.0,High,Medium,6.0,5.0,8,7,8.0,6.0,0.0
